HS_Subfind,,Bolshoi_BDM,,GIF_SURV,,Model_GIFcosm,,Bolshoi_Rockstar,,MultiDark_BDM,,MultiDark_Rockstar,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-1.6109840232389248,0.004552752814089178,-1.4440268700072618,-0.0024433210784307047,-0.9317719680464771,-0.3870128676470581,-0.9811002178649231,-0.3686807824981839,-1.223946986201888,-0.03174813907044238,-0.2829157588961504,-1.143335886437908,-0.26394335511982536,-2.045648587849492
-1.5275054466230928,-0.08233223266158252,-1.36054829339143,-0.07579429920116132,-0.8520878721859111,-0.4572797521786489,-0.8065541031227301,-0.5303504561546837,-1.140468409586056,-0.09374801425199664,-0.24497095134349944,-1.2676051311728394,-0.25255991285402946,-2.1091023851670303
-1.4440268700072618,-0.17314644607843088,-1.2770697167755989,-0.14958185820624492,-0.7686092955700792,-0.5044358773602027,-0.7382534495279591,-0.6066828120136938,-1.056989832970224,-0.1657892497276683,-0.2108206245461144,-1.378486973493101,,
-1.36054829339143,-0.27225569625998514,-1.193591140159767,-0.2190036083877991,-0.6927196804647782,-0.5690767973856206,-0.5181735657225843,-0.8635640772512709,-0.9735112563543931,-0.25049133079157526,-0.18046477850399345,-1.4776622497957517,,
-1.280864197530864,-0.36941596314451663,-1.110112563543935,-0.2879887776870005,-0.6320079883805372,-0.6887215187000724,-0.46125635439360835,-0.9565881445170663,-0.8900326797385611,-0.3347568309731299,-0.1501089324618734,-1.5768375260984024,,
-1.204974582425562,-0.48252706290849634,-1.026633986928104,-0.37792982933914265,-0.5788852578068262,-0.7997185506146907,-0.4271060275962233,-1.0889206608569353,-0.8065541031227301,-0.42600762527233105,-0.12354756717501747,-1.6796738834422662,,
-1.140468409586056,-0.5848391382015765,-0.9431554103122721,-0.4822780501089321,-0.5295570079883802,-0.9032282588961511,-0.40433914306463237,-1.187814315541031,-0.7610203340595492,-0.4794321895424831,-0.11595860566448746,-1.8300301833696446,,
-1.087345679012345,-0.68623139070443,-0.8634713144517061,-0.583804125816993,-0.4878177196804643,-1.0063077001633989,-1.851851851851852,0.3614969135802477,-0.5257625272331152,-0.991532940722585,-0.11595860566448746,-1.9356827568990562,,
-1.038017429193899,-0.7879116171931737,-0.7989651416122001,-0.6933883912361241,-0.45366739288307834,-1.1169494229983656,-1.5432098765432096,0.08506944444444509,-0.4878177196804643,-1.1052369281045755,-0.11785584604211952,-2.0541713473583885,,
-0.9962781408859831,-0.8865088280682643,-0.7458424110384891,-0.795466699411246,-0.4233115468409583,-1.2173252967274872,,,-0.45366739288307834,-1.2105960222630716,-0.11595860566448746,-2.1069679897421936,,
-0.958333333333333,-0.989647558097313,-0.6927196804647782,-0.8982310632586366,-0.39295570079883735,-1.316500573030138,,,-0.4195170660856933,-1.3231587009803922,,,,
-0.9203885257806821,-1.1062329793028325,-0.6395969498910672,-0.9996233157614896,-0.3625998547567173,-1.4168764467592596,,,-0.38536673928830734,-1.436441738153595,,,,
-0.8862381989832961,-1.212552551402505,-0.5978576615831512,-1.1071964216820986,-0.33224400871459636,-1.5172523204883808,,,-0.3588053740014514,-1.5360765023602037,,,,
-0.8558823529411761,-1.327335594249274,-0.5712962962962953,-1.248051697530864,-0.30568264342774043,-1.5928751361655777,,,-0.3436274509803914,-1.6206815654502544,,,,
-0.8293209876543202,-1.4441789215686271,-0.5504266521423382,-1.3789909279684096,,,,,-0.26014887436456036,-1.9123229847494554,,,,
-0.8065541031227301,-1.5526773556644882,-0.5287981118373271,-1.511198937908497,,,,,-0.23358750907770442,-2.0403718880492017,,,,
-0.7837872185911392,-1.6611757897603487,-0.5029956427015243,-1.6407804557007988,,,,,-0.2108206245461144,-2.106049013934278,,,,
-0.7610203340595492,-1.784481592116013,-0.4821259985475663,-1.7717196861383444,,,,,-2.679012345679012,1.1141975308641987,,,,
-0.7420479302832241,-1.9086470815177923,-0.46125635439360835,-1.893854535448439,,,,,-2.9753086419753085,1.3595679012345692,,,,
-0.7200399419026864,-2.04437091503268,-0.4346949891067533,-2.0471159847040674,,,,,-0.6296296296296289,-0.6819058641975304,,,,
-0.7078976034858382,-2.1186182314360935,-0.4157225853304283,-2.1140529967774153,,,,,,,,,,
,,0.016848220769790423,1.5053035783179023,,,,,,,,,,
